"URBAN AND REGIONAL PLANNI","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305","001","","19","2.737","15.8","15.8","21.1","5.3","36.8","5.3",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Regional Develop & Planning","312","001","","14","3.115","14.3","14.3","42.9","21.4",".",".",".","7.1",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","15","3.133","6.7","26.7","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Geog-European Urbanztn","506","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","001","","17","3.477","17.6","47.1","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","5.9"
"","590","002","","9","3.885","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","","Course Total","","26","3.629","38.5","38.5","15.4",".",".",".",".","3.8",".",".",".",".",".",".",".","3.8"
"Energy Economics","671","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Economics","720","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Regional Planning","731","001","","18","3.706","55.6","22.2","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Intro to Financial Planning","751","001","","17","3.688","35.3","58.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Central City Planning-Issue","761","001","","14","3.615","28.6","57.1","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Plan Probs-Urban Growth&Develp","772","001","","10","3.679","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Thought & Practice","781","001","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir & Alt Dispute Resolution","814","001","","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Planning Workshop","912","001","","16","3.438","43.8","31.3","6.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Smr-Rsch Review & Criticism","932","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practical Rsch Design&Planning","955","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","969","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Topics in Public Affairs","974","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
"","999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
