"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","061","","15","3.500","20.0","66.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.586","38.9","38.9","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.618","23.5","76.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","17","3.471","5.9","82.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","67","3.545","22.4","65.7","9.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"925
High Risk Obst Clrk-Meriter","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
