"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"308
People, Chemicals, Envrnmnt","001","","26","3.680","46.2","38.5","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"548
Economics of Health Care","002","","22","3.786","63.6","22.7","9.1",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"575
Biological Processes-Aging","001","","12","3.375","58.3",".","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"650","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","010","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","3.625","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","4.000","62.5",".",".",".",".",".",".","25.0",".",".",".",".","12.5",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"724
Quant Mthds-Health Managers","001","","22","3.833","68.2","22.7","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"734
Capital Finance Mgmt-Med Mgrs","001","","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"736
Strategic Planning-Med Mgrs","002","","16","3.821","62.5","18.8","6.3",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"738
Marketing Research-Med Mgrs","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Strategy&Meth-Epidemiology","001","","22","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","19","3.647","36.8","42.1","10.5",".",".",".",".",".",".",".",".",".","5.3",".","5.3","."
"800
Quant Meth-Population Health I","001","","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Strategic Health Management","001","","16","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"875","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","16","3.767","68.8","18.8",".",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Assess-Medical Technologies","Course Total","","26","3.860","80.8","11.5",".",".","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"889
Hlth Mgmt Ethics&Leadership","002","","22","",".",".",".",".",".",".",".","95.5",".",".",".",".","4.5",".",".","."
"913
Clin Chem-Newborn-StateLab","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"916
Diseas&Injry Epidem-DivHlth","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 351 of 385",""
