"MED","","","","","","","","","","","","","","","","","","","",""
"REHABILITATION MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
009","","17","3.500","17.6","64.7","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
012","","14","3.467","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehabilitatn Med Clerk-CSC","Course Total","","33","3.566","27.3","51.5","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Med&Rehab-Marshfld","923
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RHAB MED
840","Dept. Total","","35","3.593","28.6","51.4","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
