"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Intro-Drug Actn&Delivery II","001","","131","2.838","3.8","26.0","29.0","22.9","15.3","0.8","1.5","0.8",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","105","3.072","14.3","23.8","35.2","15.2","9.5","1.0",".",".",".",".",".",".",".","1.0",".","."
"522
Pharmacology II","001","","133","2.733","12.8","9.8","24.8","22.6","27.8","1.5","0.8",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","114","2.724","13.2","8.8","29.8","11.4","34.2","2.6",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","112","3.366","32.1","22.3","35.7","6.3","3.6",".",".",".",".",".",".",".",".",".",".","."
"624
Pharmacology IV","001","","112","2.848","8.9","19.6","29.5","16.1","25.9",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","35","3.186","25.7","11.4","48.6","2.9","11.4",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","12","3.931","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"774
Interfacial&Colloidl Phenom","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"932","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","Course Total","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".","4.2",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","32","",".",".",".",".",".",".",".","81.3",".",".",".","18.8",".",".",".","."
"999
Advanced Independent Study","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
