"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Practicum in Com Disorders","Course Total","","81","3.845","81.5","12.3","3.7","1.2",".",".","1.2",".",".",".",".",".",".",".",".","."
"791","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"791","002","","11","3.971","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"791","003","","8","3.469","62.5","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"791","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clerkship in Audiology","Course Total","","22","3.743","77.3","13.6",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"799","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","3.868","89.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Assess Mthd-Speech/Lang Dis","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"813
Com Dis Medical Setting","001","","35","3.886","80.0","17.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Physiological Phonetics","001","","15","3.714","46.7","40.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"819
Deviant Phonologal Acquistn","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"822
Electrophysiolog Audiometry","001","","15","3.567","40.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"823
Auditory Pathol & Disorders","001","","23","3.413","13.0","56.5","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"831
Amplification Systems","001","","14","3.536","35.7","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Lang Probs-Schl Age Chldrn","001","","30","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Seminar-Auditory Disorders","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Smr-Experimental Audiology","001","","13","3.431","7.7","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"940
Lang Pathology-Children","001","","7","3.875","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Lang Pathology-Adults","001","","13","3.926","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","60.0",".",".",".","20.0",".",".","20.0","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
