"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"405
Pathophys Basis-Phmcotherpy","001","","122","2.799","9.8","18.9","24.6","21.3","22.1","3.3",".",".",".",".",".",".",".",".",".","."
"426
Intro-Pharm Care Clrkshp II","001","","124","3.919","96.8",".","1.6",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"448
Team Appr-Emergncy Care","001","","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Pharmacy Prac","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"526
Intro-Phmceut Care Clrk IV","056","","112","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","111","2.631","3.6","11.7","32.4","29.7","18.0",".","4.5",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","119","2.735","4.2","14.3","33.6","35.3","6.7","4.2","1.7",".",".",".",".",".",".",".",".","."
"626
Intro-Phmceut Care Clrk VI","056","","95","3.905","90.5",".","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","31","2.984","12.9","16.1","41.9","12.9","16.1",".",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","98","2.850","10.2","13.3","34.7","29.6","9.2","1.0","2.0",".",".",".",".",".",".",".",".","."
"664","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"665
Nuclear Pharmacy Clerkship","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"670","001","","11","3.767","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"670","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"670","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Therapeutics","Course Total","","14","3.806","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","24","3.563","41.7","33.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"672","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"672","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","30","3.601","46.7","33.3","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","21","3.286","14.3","33.3","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health Pharmacother","Course Total","","25","3.280","16.0","32.0","44.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","175","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","19","3.931","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","001","","35","3.357","14.3","54.3","20.0","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"710","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"710","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","Course Total","","39","3.321","12.8","53.8","20.5","10.3","2.6",".",".",".",".",".",".",".",".",".",".","."
