"SENIOR MEDICAL PROGRAM","Section","#","Ave","A","","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"","936
045","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elec-Emergency Med","Course Total","15","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"TRIUMPH I: Seminar & Projects","951
001","16","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"TRIUMPH II: Milwaukee","953
002","13","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"TRIUMPH III: Leadership","955
007","13","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"882
SR MED","Dept. Total","119","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 2","","13","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 3","","16","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prof Yr 4","","90","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","119","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","119","","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
