"MEDICAL SCIENCES - MED SCH Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Med Spanish for Hlth Sci Stdts
735
001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pts, Prof. and Public Health
770
001","","171","",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".",".",".","."
"Body in Balance
771
001","","174","",".",".",".",".",".",".",".","92.5","0.6",".",".",".",".",".",".","6.9"
"Invaders and Defense
774
100","","172","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Mind & Motion
775
001","","171","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"810
021","","41","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"810
022","","44","",".",".",".",".",".",".",".","93.2",".",".",".",".","2.3",".",".","4.5"
"Course Total
Care Across the Life Cycle","","85","",".",".",".",".",".",".",".","96.5",".",".",".",".","1.2",".",".","2.4"
"811
021","","43","",".",".",".",".",".",".",".","97.7",".",".",".",".",".",".",".","2.3"
"811
022","","45","",".",".",".",".",".",".",".","75.6",".",".",".",".",".",".",".","24.4"
"Course Total
Chronic and Preventive Care","","88","",".",".",".",".",".",".",".","86.4",".",".",".",".",".",".",".","13.6"
"812
021","","45","",".",".",".",".",".",".",".","91.1",".",".",".",".","6.7",".",".","2.2"
"812
022","","40","",".",".",".",".",".",".",".","97.5",".",".",".",".",".",".",".","2.5"
"Course Total
Acute Care","","85","",".",".",".",".",".",".",".","94.1",".",".",".",".","3.5",".",".","2.4"
"813
021","","46","",".",".",".",".",".",".",".","97.8",".",".",".",".","2.2",".",".","."
"813
022","","44","",".",".",".",".",".",".",".","84.1",".",".",".",".",".",".",".","15.9"
"813
041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Surgical and Procedural Care","","92","",".",".",".",".",".",".",".","90.2",".",".",".",".","2.2",".",".","7.6"
"902
041","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
042","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
043","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
044","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"902
046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Ambulatory Acting Internship","","53","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"MEDiC Selective
910
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab-based Teaching in Med Ed
912
009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Case-based Teaching in Med Ed
914
045","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"918
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
IRR Medical Sciences","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advocating for Patients
940
007","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advocating for Populations
941
009","","15","",".",".",".",".",".",".",".","93.3",".",".",".",".","6.7",".",".","."
