"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","425","3.902","88.7","6.6","2.6","1.2","0.7","0.2",".",".",".",".",".",".",".",".",".","."
"","132","002","343","3.854","87.8","5.5","2.0","1.5","2.0",".","0.9","0.3",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","768","3.881","88.3","6.1","2.3","1.3","1.3","0.1","0.4","0.1",".",".",".",".",".",".",".","."
"Introduction to Global Health","203","001","324","3.793","71.0","18.2","9.0","0.9","0.6",".",".",".",".",".",".",".","0.3",".",".","."
"","299","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Human Nutritional Needs","332","001","92","3.079","21.7","23.9","25.0","6.5","17.4","1.1","1.1",".",".",".",".",".","3.3",".",".","."
"Cultural Aspects Food and Nutr","377","001","19","3.972","89.5","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","421","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Health Field Experience","","Course Total","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","28","3.232","50.0","3.6","17.9","7.1","17.9","3.6",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Seminar in Nutrition","600","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Experimental Diet Design","626","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition I","631","001","34","3.221","20.6","29.4","32.4","14.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"App Clinical Nutrition I","641","001","34","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis","645","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","27","3.481","33.3","40.7","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Nutrition in Aging","655","001","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","16","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","002","29","3.862","75.9","20.7","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers Nutr-Genomics & Genetics","711","001","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","19","3.737","57.9","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition Informatics","721","001","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutritional Mgmt GI Disorders","726","002","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","799","083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Nutr&Metabolism (Adv)","901","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Nutrition","931","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
