"TERM : 1242","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2023-2024","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE","","Section
#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","Dept. Total
83","3.883","74.7","3.6","1.2","",".","",".","1.2","",".","18.1","",".",".","",".","",".","",".",".","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
