"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr
105","001","","11","3.773","81.8",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"History of Pharmacy
401","001","","12","3.792","83.3",".","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy and Health System
411","001","","94","3.261","34.0","24.5","19.1","14.9","4.3","1.1","2.1",".",".",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Engage Hlth Serv Res
703","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Independent Study
999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
