"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","209","3.754","67.5","23.9","1.4","4.8","0.5","1.0",".",".",".",".",".",".",".","1.0",".","."
"Independent Reading","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","82","3.646","41.5","47.6","9.8","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","78","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Nrsg Practice","Course Total","160","3.650","40.0","50.6","8.8","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","160","3.956","92.5","6.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","314
003","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Promo Dz Prev Acrs Lfspn","Course Total","203","3.966","94.1","4.9","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in a Nrsg Practice","315
001","160","3.731","52.5","42.5","3.8","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Nrsg Pract: Exp Lrng","316
001","160","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmacology for Nrsg Practice","317
001","158","3.022","10.1","31.0","30.4","15.2","10.8","2.5",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
003","43","3.279","14.0","48.8","20.9","11.6","4.7",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","324
003","43","3.756","60.5","30.2","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
003","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlt Ill Indiv Fam Exp Lrng II","327
003","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","434
001","77","3.532","31.2","45.5","22.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","434
002","77","3.500","20.8","61.0","15.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","434
003","43","3.372","18.6","44.2","30.2","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty","Course Total","197","3.490","24.4","51.3","21.3","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence-Based Practice","435
001","158","3.972","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","436
001","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
002","68","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"","436
004","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
005","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","155","",".",".",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".","."
"","437
001","78","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","437
002","80","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","Course Total","158","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","590
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","Page 445 of 469",""
