"","975
011","1","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","975
012","2","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Developmental Pediatrics","Course Total","3","***","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Research","990
203","2","***","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"708
PEDIAT","Dept. Total","120","4.000","44.2","",".","",".","",".","",".","",".","",".","55.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","16","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","32","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","51","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","66","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","67","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","120","4.000","44.2","",".","",".","",".","",".","",".","",".","55.8","",".",".","",".","",".","",".",".",".","."
