"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300","001","196","3.189","32.1","12.8","31.6","8.7","14.3","0.5",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insuring Life's Risks","530","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","46","3.315","30.4","17.4","41.3","6.5","4.3",".",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","58","3.336","36.2","20.7","22.4","15.5","5.2",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","38","3.608","36.8","44.7","15.8",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Risk Financing Techniques","655","001","39","3.487","35.9","41.0","12.8","5.1","5.1",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
