"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Issues in Food Systems","340","001","","7","3.214","57.1","14.3",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","","17","3.500","58.8","23.5","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","71","3.600","63.4","11.3","14.1","2.8","5.6","1.4",".",".",".",".",".",".","1.4",".",".","."
"Stats for Sociologists I","360","001","","81","3.346","40.7","18.5","21.0","13.6","3.7","2.5",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","","38","3.303","42.1","23.7","10.5","10.5","10.5",".","2.6",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421","001","","39","3.128","41.0","23.1","10.3","2.6","10.3","10.3","2.6",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jewish Thought","423","001","","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","","9","3.556","44.4","44.4",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity, Race, and Justice","440","001","","16","3.188","25.0","37.5","12.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","","98","3.612","68.4","12.2","6.1","8.2","2.0","2.0","1.0",".",".",".",".",".",".",".",".","."
"Social Psych: A Sociol Persp","444","001","","21","3.667","57.1","28.6","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad-Soc Organization","465","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","001","","25","3.080","12.0","40.0","16.0","16.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","475","003","","24","3.717","66.7","8.3","16.7","4.2",".",".",".",".",".",".",".",".",".","4.2",".","."
"Classical Soc Theory","","Course Total","","49","3.385","38.8","24.5","16.3","10.2","8.2",".",".",".",".",".",".",".",".","2.0",".","."
"","496","002","","23","3.630","56.5","26.1","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","496","004","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","005","","46","3.200","34.8","21.7","15.2","13.0","8.7","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"","496","006","","8","2.714","37.5","25.0",".",".",".",".","25.0",".",".",".",".",".",".","12.5",".","."
"","496","010","","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","94","3.348","48.9","20.2","10.6","7.4","6.4","1.1","3.2","1.1",".",".",".",".",".","1.1",".","."
"Public Hlth-Rural & Urban Comm","533","001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Talk and Social Interaction","535","001","","30","3.500","76.7","3.3","6.7","3.3",".","3.3","6.7",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Social Network Analysis","618","001","","9","3.929","66.7","11.1",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Political Sociology","624","001","","9","3.278","66.7","11.1",".",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","22","3.600","40.9","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".","9.1",".","."
"Sociol-Economic Institutions","652","001","","18","3.633","50.0","16.7","5.6","11.1",".",".",".","5.6",".",".",".",".","11.1",".",".","."
"Sociology of Persecution","678","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
