"TERM : 1242","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2023-2024","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","","Section
#","Ave","A","AB","","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"528","LAW","","","","","","","","","","","","","","","","","","","","","","",""
"528","LAW","Dept. Total
3474","1.392","12.9","",".","14.7","",".","1.6","0.1","0.1","27.7","",".",".","",".","",".","0.1",".",".","1.3"
"Summary by Level","","#","Ave","A","AB","","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"528","LAW","","","","","","","","","","","","","","","","","","","","","","",""
"","Special","5","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
