"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof
306","001","","17","3.559","47.1","17.6","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment
317","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"407","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"407","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"441","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"441","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"441","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","8","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"446","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"446","003","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"453","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"453","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"453","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","10","3.300","70.0",".",".","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"454","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"454","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"454","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"490","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RNs
519","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
