"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","15","3.964","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.970","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reproductive Endocrine Physiol
710","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-OB/GYN","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Race in American OB/GYN
917","008","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized Ob/Gyn Elective","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecologic Oncology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Clinical Setting","Course Total","","5","***","","","","","","","","","","","","","","","",""
"938","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Obs Gyn Inpt Acting Internship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Endocrinlgy-Reprodctve Phys
954","001","","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Responsible Conduct
955","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
