"DERMATOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"229
DERM","","","","","","","","","","","","","","","","","","","",""
"Skin Biology and Skin Diseases
601","001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Clinical Derm Elective","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"953","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Elective","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
