"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Phys/Chem Principles of Drugs
420","001","","93","3.274","24.7","24.7","36.6","8.6","5.4",".",".",".",".",".",".",".",".",".",".","."
"Pharmaceutical Biochemistry
432","001","","94","3.431","42.6","20.2","24.5","6.4","6.4",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci
493","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacology I
521","001","","116","3.748","71.6","12.1","12.1","1.7","0.9","0.9",".","0.9",".",".",".",".",".",".",".","."
"Drug Delivery Systems
540","001","","98","3.536","31.6","51.0","12.2","3.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"Parenteral Therapy & Nutrition
542","001","","98","3.827","75.5","14.3","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmcol&Toxcol
558","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology III
623","001","","123","3.711","60.2","25.2","12.2","1.6","0.8",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I
625","001","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis
691","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751","001","","30","3.931","83.3","13.3",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"751","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Reg Practice","Course Total","","37","3.944","86.5","10.8",".",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Pharm Economics and Proj Mgmnt
753","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Neuroactive drugs
757","001","","54","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Drug Disc/Dev
759","001","","27","3.722","74.1","18.5","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"762","001","","15","3.633","60.0","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"762","002","","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"DrugDevI","Course Total","","27","3.611","48.1","29.6","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"768","001","","17","3.676","64.7","23.5",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"768","002","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","Course Total","","30","3.783","76.7","13.3","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Principles of Pharmaceut Sci
780","001","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"February 06, 2024","","","","","","","","","","","","","","","","","","","Page 450 of 469",""
