"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","742
004","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
005","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
005","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
004","","33","3.833","81.8","9.1","6.1",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","760
005","","37","3.892","89.2","5.4",".","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","760
115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
180","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
218","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
281","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
293","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","78","3.878","87.2","6.4","2.6","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"Grad Sem Hlth-System Pharmacy","961
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
