"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"541","001","","33","3.468","27.3","36.4","27.3","3.0",".",".",".","6.1",".",".",".",".",".",".",".","."
"541","002","","35","3.897","82.9","8.6","5.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Intro to Biostatistics","Course Total","","68","3.692","55.9","22.1","16.2","1.5",".",".",".","2.9",".",".",".",".","1.5",".",".","."
"Into to Clin&Hlthcare Rsch II
544","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics
576","001","","14","3.091","21.4","14.3","28.6",".","7.1","7.1",".","21.4",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials
641","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.910","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Longitudinal Data Analysis
727","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lrning Based Mthds for Com Vis
771","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Network  Biology
775","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"826","038","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","Course Total","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed DataSci Scholarly Lit 1
881","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 1
883","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 2
884","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
