"MED","","","","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
810
POP HLTH","345","3.799","40.0","7.5","5.2","",".","",".","0.3","",".","29.3","",".","16.5","",".","0.6","0.3","0.3",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","17","3.588","47.1","23.5","29.4","",".","",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","41","3.664","61.0","14.6","17.1","",".","",".","2.4","",".","2.4","",".",".","",".",".",".","2.4",".","."
"Undergraduates","58","3.641","56.9","17.2","20.7","",".","",".","1.7","",".","1.7","",".",".","",".",".",".","1.7",".","."
"Special","4","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","143","3.877","65.7","10.5","3.5","",".","",".",".","",".","18.9","",".",".","",".","1.4",".",".",".","."
"Prof Yr 1","55","",".",".",".","",".","",".",".","",".",".","",".","100.0","",".",".",".",".",".","."
"Prof Yr 2","2","***","","","","","","","","","","","","","","100.0","",".",".",".",".",".","."
"Prof Yr 3","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","78","3.769","5.1",".","1.3","",".","",".",".","",".","92.3","",".",".","",".",".","1.3",".",".","."
"Professionals","140","3.889","6.4",".","0.7","",".","",".",".","",".","51.4","",".","40.7","",".",".","0.7",".",".","."
"Dept. Total","345","3.799","40.0","7.5","5.2","",".","",".","0.3","",".","29.3","",".","16.5","",".","0.6","0.3","0.3",".","."
