"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Nonprescr. Meds & Self-Care","438","001","98","3.206","24.5","25.5","30.6","7.1","9.2","2.0",".",".",".",".",".",".","1.0",".",".","."
"Pathways in Pharmacy Practice","461","001","93","3.984","98.9",".",".","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement II","463","001","99","3.995","99.0","1.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Expl Pharm Peer Mentor Seminar","471","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiences II","526","001","97","3.938","93.8","3.1","1.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","49","3.969","95.9","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","97","3.881","77.3","21.6","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","98","3.138","21.4","26.5","24.5","19.4","5.1","3.1",".",".",".",".",".",".",".",".",".","."
"Antimicrobial Stewardship","560","001","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","43","3.895","86.0","7.0","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiencs III","625","001","121","3.921","87.6","9.9","1.7","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation I","628","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638","001","121","3.438","33.1","34.7","20.7","9.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","93","3.366","33.3","26.9","24.7","9.7","5.4",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653","001","121","3.930","87.6","10.7","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","122","3.373","32.8","23.0","32.8","9.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"","740","004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","004","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","170","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","270","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","741","272","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","","Course Total","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
