"OCCUPATIONAL THER (DEPT-KI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","52","3.779","80.8","9.6","3.8","3.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Applied Neuroanatomy","640","001","","23","3.932","91.3",".",".","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Clinical Conditions I","651","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl/Leadership Skills 1","710","002","","23","3.630","43.5","47.8","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Professnl/Leadership Skills 3","712","001","","30","3.883","83.3","10.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 1: Adult Focus","722","001","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 4: Peds","725","001","","30","3.517","30.0","50.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Level 1 Fieldwork C","728","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living Well: Promoting Health","734","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","004","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","005","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EBP Lab Practicum","","Course Total","","53","3.972","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 1","771","001","","23","3.522","39.1","52.2","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 3","773","001","","30","3.767","63.3","26.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appld Leadshp & Mangmnt in OT","811","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Trends OT Practice","812","001","","30","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Synthesis 1","821","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Synthesis 2","822","001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OTD Capstone 1","881","001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
