"PHARMACY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","",""
"","125
001","21","4.000","100.0",".",".",".",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"","125
002","22","4.000","100.0",".",".",".",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"Exploring Pharmacy I","Course Total","43","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Pharm Integrated Learning Lab","423
001","93","3.984","97.8","1.1","1.1",".",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"Dangerous Drugs","563
001","50","3.880","92.0","4.0","2.0",".",".","",".","2.0",".",".","",".",".","",".","","",".",".",".","."
"Safety & Quality-Med Use Sys","608
001","121","3.736","60.3","29.8","6.6","3.3",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"Legal Struct Contr Substances","612
001","56","3.555","62.5","21.4","5.4","1.8","1.8","",".","5.4","1.8",".","",".",".","",".","","",".",".",".","."
"Rural Pharmacy Practice","630
001","16","4.000","100.0",".",".",".",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"Phmceut Biotech&Phmacogenomics","645
001","121","3.446","43.8","10.7","38.0","5.8","1.7","",".",".",".",".","",".",".","",".","","",".",".",".","."
"","674
001","48","3.678","68.8","14.6","6.3",".",".","",".","4.2","6.3",".","",".",".","",".","","",".",".",".","."
"","674
002","23","4.000","100.0",".",".",".",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"Cannabinoids","Course Total","71","3.787","78.9","9.9","4.2",".",".","",".","2.8","4.2","",".",".","",".","",".","",".",".",".","."
"CNS Drug Principles I","770
001","41","3.963","92.7","7.3",".",".",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"","801
001","11","3.636","90.9",".",".",".",".","",".","9.1",".",".","",".",".","",".","","",".",".",".","."
"","801
002","9","4.000","100.0",".",".",".",".","",".",".",".",".","",".",".","",".","","",".",".",".","."
"Bioethics & Sci Integrity","Course Total","20","3.800","95.0",".",".",".",".","",".","5.0",".","",".",".","",".","",".","",".",".",".","."
"726
PHARMACY","Dept. Total","632","3.749","74.4","11.7","9.8","1.9","0.5","",".","1.1","0.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","19","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","43","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","68","3.500","70.6","8.8","2.9",".","1.5","",".","10.3","5.9","",".",".","",".","",".","",".",".",".","."
"Graduate","","147","3.915","83.7","12.2","3.4","0.7",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","93","3.984","97.8","1.1","1.1",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","23","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","258","3.639","55.0","19.0","20.9","4.3","0.8","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","374","3.702","68.4","13.4","14.7","2.9","0.5","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","632","3.749","74.4","11.7","9.8","1.9","0.5","",".","1.1","0.6","",".",".","",".","",".","",".",".",".","."
