"TERM : 1242","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2023-2024","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOLECULAR BIOLOGY","","Section
#","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","Dept. Total
42","3.978","85.7","",".","2.4","",".","",".","",".","",".","",".","",".",".","",".","11.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"650","MOL BIOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","1","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
