"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"699","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","11","3.929","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prehospital Selective
911","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"959","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"960","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Basic","Course Total","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"961","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"961","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Advanced","Course Total","","3","***","","","","","","","","","","","","","","","",""
"998","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"998","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
