"TERM : 1242","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2023-2024","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","","Section
#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728","PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"728","PHM PRAC","Dept. Total
1558","3.717","69.9","14.0","9.9","4.0","1.7","0.3","",".","",".","",".",".","",".","",".","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"728","PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
