"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
001","93","3.668","59.1","22.6","11.8","2.2","3.2",".",".","1.1",".",".",".",".",".",".",".","."
"","120
002","99","3.874","79.8","17.2","2.0",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","192","3.760","69.8","19.8","6.8","1.0","2.1",".",".","0.5",".",".",".",".",".",".",".","."
"","125
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","40","3.528","52.5","12.5","15.0","2.5","5.0","2.5",".","7.5",".",".",".",".","2.5",".",".","."
"Amer Soc: How It Really Works","Course Total","59","3.617","59.3","15.3","11.9","1.7","3.4","1.7",".","5.1",".",".",".",".","1.7",".",".","."
"Criminal Justice in America","131
001","151","2.904","11.3","17.2","41.7","12.6","12.6","3.3","1.3",".",".",".",".",".",".",".",".","."
"","134
001","184","3.420","39.1","27.7","19.6","7.6","2.7","1.6","0.5",".",".",".",".",".",".",".","1.1","."
"","134
002","161","3.494","45.3","27.3","16.1","8.1","1.2","1.2","0.6",".",".",".",".",".",".",".",".","."
"","134
003","198","3.707","70.7","13.6","8.6","4.5","1.0","1.0","0.5",".",".",".",".",".",".",".",".","."
"","134
004","195","3.769","71.8","13.3","12.3","2.1","0.5",".",".",".",".",".",".",".",".",".",".","."
"","134
005","13","3.636","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"","134
007","90","3.606","57.8","23.3","11.1","2.2","3.3","2.2",".",".",".",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","Course Total","841","3.606","57.2","20.8","13.6","5.0","1.5","1.1","0.4",".",".",".",".",".","0.2",".","0.2","."
"The Sociology of Gender","138
002","100","3.628","53.0","25.0","14.0","4.0","2.0",".",".","1.0",".",".",".",".",".","1.0",".","."
"Intro-Community & Envir Soc","140
001","68","3.735","70.6","16.2","7.4","1.5","4.4",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","53","3.443","50.9","17.0","15.1","11.3","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"","170
001","97","3.484","50.5","22.7","9.3","10.3","2.1","2.1","1.0",".",".",".",".",".","1.0",".","1.0","."
"","170
002","197","3.622","50.3","32.0","11.7","4.1","2.0",".",".",".",".",".",".",".",".",".",".","."
"","170
003","100","3.905","86.0","10.0","3.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Population Problems","Course Total","394","3.661","59.4","24.1","8.9","4.8","1.5","0.5","0.3",".",".",".",".",".","0.3",".","0.3","."
"Hnrs Smr:Sociolgl Enterprse","181
001","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200
001","63","3.444","44.4","33.3","7.9","3.2","6.3",".","3.2",".",".",".",".",".",".","1.6",".","."
"Survey of Sociology","210
001","64","3.320","26.6","34.4","26.6","7.8","3.1",".","1.6",".",".",".",".",".",".",".",".","."
"","211
002","42","3.476","42.9","26.2","19.0","7.1","4.8",".",".",".",".",".",".",".",".",".",".","."
"","211
003","45","3.567","40.0","42.2","8.9","8.9",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","Course Total","87","3.523","41.4","34.5","13.8","8.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","56","3.393","33.9","41.1","10.7","8.9","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","7","3.333","42.9","28.6",".",".",".","14.3",".",".",".",".",".",".","14.3",".",".","."
"Envir, Nat Resources & Society","248
001","13","3.462","30.8","46.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Idea, Past & Present","259
001","18","4.000","22.2",".",".",".",".",".",".","72.2",".",".",".",".","5.6",".",".","."
"Latin America-Introduction","260
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
036","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
061","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
082","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","Course Total","20","3.765","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
