"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Child Abuse and Neglect","646
001","","25","3.820","76.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","","48","3.458","25.0","45.8","27.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology-SWPract. in MH","712
001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
010","","17","3.706","76.5","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Interventn-Chldrn, Youth, Fam","Course Total","","43","3.860","88.4","4.7","4.7",".",".","2.3",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
002","","11","3.545","81.8",".","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","800
003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
004","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","800
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
006","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
101","","11","3.917","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
103","","8","3.932","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
104","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","","90","3.928","93.3","3.3","1.1",".",".",".","1.1",".",".",".",".",".","1.1",".",".","."
"Soc Work Prac in Schools I","815
010","","30","3.950","93.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Wrk Practicum Schools I","816
010","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"SW Pract. in Aging & MH","821
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","835
011","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Soc Work Pract-Mental Hlth","Course Total","","39","3.936","89.7","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
010","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","840
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","","47","3.967","91.5","6.4",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Cog & MH Treatments for Adults","870
010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Practice in Hlth Care","873
001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth, Aging, Disably Pol&Serv","875
001","","12","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
