"GENDER AND WOMENS STUDIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","",""
"Capstone Smr in Gender & Wm St","640
001","14","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","681
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis I","Course Total","3","***","","","","","","","","","","","","","","","",""
"Senior Thesis II","692
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","720
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","720
002","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Spec Topics-Gender&Wmn","Course Total","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Feminist Theory & Criticism","737
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research & Thesis","790
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","799
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergence of GWS Field","810
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy - Gender & Women's St","840
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Research","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963
GEN&WS","Dept. Total","1644","3.737","73.2","13.5","4.2","1.8","1.9","1.0","1.1","0.5",".","1.2",".","0.2","0.9","0.3","0.2","."
