"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
002","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","7","3.286","14.3","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
008","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
009","","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","70","3.414","15.7","51.4","32.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","910
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Individualized 4th Yr Clerk","919
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
015","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
017","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
018","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
