"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","656
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","18","3.512","38.9","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","27","3.769","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","662
001","17","3.935","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Topics-Contemp Soc Welfare","664
001","23","3.797","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","20","3.632","60.0","20.0","10.0",".",".","5.0",".",".",".",".",".",".","5.0",".",".","."
"","699
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","7","3.808","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","44","3.807","63.6","34.1","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
001","22","3.386","9.1","59.1","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
742","31","3.484","16.1","67.7","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","742
003","25","3.720","44.0","56.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
004","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","Course Total","98","3.571","30.6","54.1","14.3","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","10","3.894","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
012","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
013","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","801
014","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
015","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
021","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
022","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","801
023","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
024","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","129","3.940","88.4","7.8","2.3",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Aging and Mental Health","821
001","21","3.750","57.1","28.6","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Mental Hlth Policies&Services","836
001","35","3.757","62.9","25.7","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","31","3.935","90.3","6.5","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
004","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","98","3.852","73.5","23.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administration-Social Work","841
002","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Interventn-Mental Illness","870
001","10","3.667","50.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Soc Work Practice in Hlth Care","873
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","924
001","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 301 of 404",""
