"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Extramural Elect-Intl Health","Course Total","23","3.816","69.6","26.1","4.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"TRIUMPH II: Milwaukee","953
009","8","",".",".",".",".",".","",".","",".","",".","",".","","100.0",".","",".","",".","",".",".","."
"TRIUMPH IV: Adv Seminar","957
001","8","",".",".",".",".",".","",".","",".","",".","",".","","100.0",".","",".","",".","",".",".","."
"SR MED
882","Dept. Total","270","3.652","48.5","24.8","15.9","0.4","",".","",".","",".","",".","",".","5.9","",".","",".","",".",".","3.3","1.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 2","","3","3.167",".","33.3","66.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","95","3.553","27.4","37.9","15.8",".","",".","",".","",".","",".","",".","7.4","",".","",".","",".",".","8.4","3.2"
"Prof Yr 4","","172","3.725","61.0","17.4","15.1","0.6","",".","",".","",".","",".","",".","5.2","",".","",".","",".",".","0.6","."
"Professionals","","270","3.652","48.5","24.8","15.9","0.4","",".","",".","",".","",".","",".","5.9","",".","",".","",".",".","3.3","1.1"
"","Dept. Total","270","3.652","48.5","24.8","15.9","0.4","",".","",".","",".","",".","",".","5.9","",".","",".","",".",".","3.3","1.1"
