"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","002","93","3.267","38.7","21.5","18.3","6.5","5.4","4.3","2.2",".",".",".",".",".",".",".","3.2","."
"Speech Science","201","001","72","3.606","62.5","18.1","5.6","9.7",".","1.4","1.4",".",".",".",".",".",".","1.4",".","."
"Normal Aspects of Hearing","202","001","63","3.175","38.1","20.6","23.8","4.8","3.2","3.2","6.3",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","117","3.504","52.1","25.6","8.5","6.0","2.6","3.4","0.9",".",".",".",".",".","0.9",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","147","3.432","56.5","8.8","19.0","6.1","4.1","3.4","1.4","0.7",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","84","3.292","26.2","32.1","20.2","16.7","4.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","90","3.478","43.3","23.3","17.8","13.3","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","31","3.387","16.1","48.4","32.3","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","90","3.522","44.4","23.3","26.7","3.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","49","3.806","75.5","12.2","10.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","34","3.924","85.3","8.8","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Motor Speech Disord/Communictn","705","001","34","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","34","3.955","88.2","8.8",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","33","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis-Ped Populatn","750","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","9","3.929","66.7","11.1",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","790","007","12","3.897","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","016","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","790","041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","045","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","12.5",".","12.5","."
"Practicum in Com Disorders","","Course Total","44","3.949","81.8","4.5","2.3",".",".",".",".",".",".",".",".",".","9.1",".","2.3","."
"Independent Study","799","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory & Vestibular Path I","837","001","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 186 of 404",""
