"","490
029","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","490
032","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics in Nursing","Course Total","31","3.717","58.1","32.3","6.5","3.2","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Capstone Practicum for RN's","519
001","9","3.878","88.9",".","11.1",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"CNP
691","Dept. Total","112","3.768","60.7","31.3","7.1","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.600","50.0",".","50.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","17","3.594","29.4","58.8","11.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","93","3.800","66.7","26.9","5.4","1.1","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","112","3.768","60.7","31.3","7.1","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","112","3.768","60.7","31.3","7.1","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
