"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","150","3.907","88.0","7.3","3.3","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","121","3.921","86.0","12.4","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","302
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","158","3.939","88.6","9.5","1.3",".",".",".",".",".",".",".",".",".","0.6",".",".","."
"","310
001","74","3.851","71.6","27.0","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","98","3.857","72.4","26.5","1.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","130","3.669","43.8","46.9","8.5","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","21","3.350","4.8","57.1","33.3",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Hum Response-Hlth & Illness II","Course Total","151","3.627","38.4","48.3","11.9","0.7",".",".",".",".",".",".",".",".","0.7",".",".","."
"","319
001","129","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","319
002","21","",".",".",".",".",".",".",".",".",".","95.2",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","150","",".",".",".",".",".",".",".",".",".","99.3",".",".",".",".",".","."
"","332
001","131","3.901","81.7","16.8","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","21","3.775","52.4","42.9",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","152","3.884","77.6","20.4","1.3",".",".",".",".",".",".",".",".",".","0.7",".",".","."
"","401
001","135","3.770","63.7","28.9","5.2","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","24","3.750","54.2","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","159","3.767","62.3","30.8","5.0","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","415
001","136","3.908","85.3","12.5","1.5",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","415
002","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","160","3.916","86.3","11.9","1.3",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","62","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
001","69","3.891","81.2","15.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","93","3.903","83.9","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","3","***","","","","","","","","","","","","","","","",""
"Practicum in School Nursing","472
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
021","17","2.906",".","11.8","58.8","17.6","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Contemp Practices-Nursing","Course Total","40","3.327","57.5","5.0","25.0","7.5","2.5",".",".",".",".",".",".",".","2.5",".",".","."
"Advanced Assessment","601
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Practicum for CNS","606
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","614
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","615
011","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
