"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City","305","001","","19","3.842","84.2","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","306","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","420","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","15","3.846","60.0","26.7",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Community Economic Analysis","520","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","590","001","","26","3.846","76.9","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Site Planning","601","001","","19","4.000","84.2",".",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Internatnl Developmnt & Gender","644","001","","8","3.071","25.0","37.5","12.5",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"Modern American Communities","645","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Green Pol:Glb Expr,Am Prosp","668","001","","10","3.722","40.0","50.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Energy Economics","671","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Economics","720","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning Thought & Practice","781","002","","16","3.719","43.8","56.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning & the Legal System","833","001","","29","3.759","62.1","31.0","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Func, Spatial Org&Envr Form","841","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Housing and Public Policy","844","001","","26","3.938","80.8","11.5",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Smr-Land Use&Community Dev","945","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practical Rsch Design&Inquiry","955","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","999","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","7","3.800","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
