"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","43","3.698","72.1","11.6","11.6","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","97","3.240","15.5","50.5","18.6","9.3",".","3.1","2.1","1.0",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","107","3.425","29.0","41.1","17.8","7.5","3.7",".",".","0.9",".",".",".",".",".",".",".","."
"","401
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
006","11","3.952","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","8","3.926","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
009","13","3.925","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","14","3.884","78.6","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","401
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","016
401","12","3.745","75.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","401
017","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
018","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
019","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","104","3.893","82.7","12.5","2.9","1.0",".",".",".",".",".",".",".",".","1.0",".",".","."
"","440
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","27","3.815","70.4","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","16","3.594","50.0","25.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","26","3.750","69.2","15.4","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","28","3.981","92.9","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","442
002","25","3.708","44.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"","442
003","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","75","3.836","66.7","29.3","1.3",".",".",".",".",".",".",".",".",".","1.3",".","1.3","."
"Alcohol & Other Drug Abuse","453
001","224","3.633","51.3","30.8","10.7","4.5","1.8",".",".","0.4",".",".",".",".","0.4",".",".","."
"Human Behavior & Environmnt","457
001","101","3.715","58.4","29.7","8.9","1.0",".","1.0",".",".",".",".",".",".","1.0",".",".","."
"Child Welfare","462
001","21","3.548","28.6","52.4","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","25","3.400","44.0","32.0","12.0",".","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"","579
001","15","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"","579
002","12","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Special Topics in Social Work","Course Total","27","",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".","."
"Social Policy","606
001","40","3.784","57.5","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","7.5","."
"","640
001","49","3.837","65.3","26.5","2.0",".",".",".",".",".",".",".",".",".","2.0",".","4.1","."
"","640
002","34","3.779","61.8","35.3",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","97","3.824","66.0","28.9","1.0","1.0",".",".",".",".",".",".",".",".","1.0",".","2.1","."
"Soc Work & Devel Disabilities","644
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","92","3.109","29.3","12.0","31.5","12.0","12.0","3.3",".",".",".",".",".",".",".",".",".","."
"","656
001","10","3.680","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
656","7","3.233","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 300 of 404",""
