"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","190","3.658","65.3","15.3","11.6","4.7","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"421
Intro-Drug Actn&Delivery II","001","","130","2.958","14.6","21.5","26.9","16.2","20.0","0.8",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"522","001","","145","3.503","52.4","12.4","21.4","11.0","2.8",".",".",".",".",".",".",".",".",".",".","."
"522","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacology II","Course Total","","148","3.517","53.4","12.2","20.9","10.8","2.7",".",".",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","131","3.465","44.3","20.6","22.1","7.6","4.6",".",".",".",".",".",".",".","0.8",".",".","."
"532
Medicinal Chemistry II","001","","133","3.571","50.4","26.3","12.8","8.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","129","3.574","50.4","21.7","21.7","4.7","1.6",".",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","129","3.806","69.8","21.7","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","47","3.872","74.5","25.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","27","3.964","88.9",".","3.7",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"766
Molecular Recognition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Molecular Solids","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Pharmaceutical Sci Seminar","001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".","14.3","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 390 of 404",""
