"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"650
Women&Leadershp-Med, Sci, Engr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","183","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","186","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","195","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","205","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","206","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","214","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","217","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","220","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","232","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","238","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","240","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","243","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","75","3.971","88.0","5.3",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"812","081","","33","3.371","18.2","33.3","42.4",".",".",".",".",".",".",".",".",".",".",".",".","6.1"
"812","082","","26","3.417","23.1","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","7.7"
"Prin Int Med-Basic Clrkship","Course Total","","59","3.391","20.3","32.2","40.7",".",".",".",".",".",".",".",".",".",".",".",".","6.8"
"903
MSTP Clin Clrkshp-Grad School","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"914
Therapeutics I-Chronic Disease","082","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915
Therapeutics II-Acute Diseases","081","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 349 of 404",""
