"PHYSICAL THERAPY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"745
PHY THER","","","","","","","","","","","","","","","","","","","",""
"Principles-Pro Practice&Adm","512
001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of PT Intervention","534
001","","39","3.628","35.9","53.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","540
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","540
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Aspects of Hlth Care","Course Total","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542
001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","542
002","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Ethics,Jurisprudence,Regs","Course Total","","41","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Therapy Externship","601
001","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cl Decision Mkng:Neuromus Mech","628
001","","39","3.628","38.5","48.7","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Control Dysfunction II","636
001","","41","3.622","31.7","61.0","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Inquiry-Phy Ther","640
001","","39","3.795","61.5","35.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Practicum","642
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss in Rehab Rsch II","643
001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Medicine II","665
001","","39","3.487","20.5","56.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musculoskeletal Dysfunction II","677
001","","41","3.610","26.8","68.3","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship I","700
001","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship V","704
001","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship VI","705
001","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","799
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","57.1",".",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
