"Ind Study in Med History","699
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Biomedical Ethics and Society","728
001","5","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Ethical Issues in Medicine","730
001","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Seminar: Science in America","915
001","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
452","Dept. Total","287","3.554","34.5","42.5","17.4","1.0","0.3","",".","0.3","2.4","",".",".","",".","",".","1.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.313","25.0","25.0","37.5","12.5",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","28","3.536","28.6","50.0","21.4",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","77","3.526","27.3","51.9","19.5","1.3",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","140","3.592","37.9","40.7","16.4","0.7","0.7","",".",".","2.9","",".",".","",".","",".","0.7",".",".","."
"Undergraduates","","253","3.556","33.2","44.7","18.6","1.2","0.4","",".",".","1.6","",".",".","",".","",".","0.4",".",".","."
"Special","","5","3.750","60.0",".","20.0",".",".","",".",".","20.0","",".",".","",".","",".",".",".",".","."
"Graduate","","16","3.625","43.8","18.8","12.5",".",".","",".",".","12.5","",".",".","",".","",".","12.5",".",".","."
"Prof Yr 4","","13","3.357","38.5","46.2",".",".",".","",".","7.7",".","",".",".","",".","",".","7.7",".",".","."
"Professionals","","13","3.357","38.5","46.2",".",".",".","",".","7.7",".","",".",".","",".","",".","7.7",".",".","."
"","Dept. Total","287","3.554","34.5","42.5","17.4","1.0","0.3","",".","0.3","2.4","",".",".","",".","",".","1.4",".",".","."
