"","POPULATION HEALTH SCIENCE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Publ Hlth:Local-Globl Perspect","370","001","214","3.650","47.2","38.3","12.6","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","47","3.567","38.3","36.2","17.0","4.3",".",".",".",".",".",".",".",".",".","4.3",".","."
"Economics of Health Care","548","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Regression Methods-Pop Health","552","001","19","3.553","31.6","47.4","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinicl&Pub Hlth Microbiol","603","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Nutritnl Epidemiology","621","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Toxicology II","626","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644","010","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644","030","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644","040","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health & Disease","","Course Total","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","026","22","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","029","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","063","46","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","067","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","068","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","100","3.810","70.0","22.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","19","3.727","89.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","740","001","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Health Sys, Mngmnt, & Policy","785","001","37","3.486","21.6","56.8","18.9","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Social & Behav Sci-Public Hlth","786","002","44","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","787","001","22","3.806","59.1","13.6","9.1",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Public Health Field Experience","788","001","23","3.967","69.6","4.3",".",".",".",".",".",".",".",".",".",".","26.1",".",".","."
"Physical Activity Epidemiology","791","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Health Services Research","796","001","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods","798","001","24","3.478","41.7","20.8","20.8","12.5",".",".",".",".",".",".",".",".",".",".","4.2","."
"Epidemiology-Infect Disease","801","001","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess-Medical Technologies","875","001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","904","008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 371 of 404",""
