"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","156","3.572","49.4","29.5","10.9","4.5","2.6","0.6","0.6","1.3",".",".",".",".",".",".",".","0.6"
"363
Develp: Adolescence-Old Age","001","","176","3.474","42.6","29.0","16.5","5.7","2.8","2.3",".","1.1",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","29","3.172","17.2","27.6","37.9","6.9","10.3",".",".",".",".",".",".",".",".",".",".","."
"464
Play-Devlpmt & Role-Lifespan","001","","37","3.932","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","30","3.767","70.0","16.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","33","3.697","48.5","42.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","31","3.500","45.2","25.8","12.9","6.5","6.5",".",".",".",".",".",".",".",".",".","3.2","."
"501","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"501","008","","50","3.888","86.0","4.0","6.0","2.0",".",".",".",".",".",".",".",".",".",".","2.0","."
"501","011","","7","3.900","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"501","039","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","81","3.850","85.2","4.9","6.2","1.2","1.2",".",".",".",".",".",".",".",".",".","1.2","."
"516
Family Stress and Coping","001","","32","3.906","90.6","6.3",".",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","27","3.327","18.5","37.0","29.6","11.1",".",".",".",".",".",".",".",".","3.7",".",".","."
"522
American Indian Families","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","29","3.879","75.9","24.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","35","3.867","82.9","11.4",".","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"601","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","38","3.874","84.2","10.5",".","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"663
Developmental & Fam Assessment","001","","32","3.578","56.3","25.0","12.5","3.1",".",".","3.1",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"725
Theory & Issues-Human Dev","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Aging and the Family","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Current Iss-Family Living","001","","12","3.750","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"842
Parnt-Chld Across Life Crse","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","71.4","7.1",".",".","21.4",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","Page 142 of 404",""
