"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"","741
006","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
005","80","3.848","77.5","15.0","3.8","2.5",".",".",".",".",".",".",".",".","1.3",".",".","."
"","760
006","82","3.866","76.8","19.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","162","3.857","77.2","17.3","3.7","1.2",".",".",".",".",".",".",".",".","0.6",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","9","3.714","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1504","3.666","57.9","21.9","13.5","3.5","0.9",".","0.3","1.0",".","0.7",".",".","0.1",".",".","."
