"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212
001","24","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","18","3.559","22.2","61.1","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523
001","20","3.647","40.0","30.0","15.0",".",".",".",".",".",".",".",".",".","15.0",".",".","."
"Ethical Issues in Health Care","558
001","35","3.485","25.7","42.9","22.9","2.9",".",".",".","5.7",".",".",".",".",".",".",".","."
"","559
001","26","3.432","26.9","46.2","3.8","3.8",".",".","3.8","11.5",".",".",".",".","3.8",".",".","."
"","559
002","136","3.533","33.1","42.6","22.8","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","Course Total","162","3.519","32.1","43.2","19.8","1.2","0.6",".","0.6","1.9",".",".",".",".","0.6",".",".","."
"Regenerative Medicine Ethics","610
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in History of Med","668
001","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Study in Med History","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Biomedical Ethics and Society","728
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethical Issues in Medicine","730
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Science in America","915
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","287","3.554","34.5","42.5","17.4","1.0","0.3",".","0.3","2.4",".",".",".",".","1.4",".",".","."
