"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Philosophy and Economics","524","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","27","3.269","37.0","14.8","25.9","7.4","7.4","3.7",".","3.7",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors-Research Proj Design","580","001","","17","3.765","76.5",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","581","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Population Economics","623","001","","23","3.000","30.4","8.7","30.4","17.4",".",".","8.7",".",".",".",".",".",".","4.3",".","."
"Issues-International Finance","666","001","","28","3.250","28.6","21.4","39.3",".","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","","16","3.281","37.5","12.5","31.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Econ Stats & Econometrics 2","710","001","","41","3.372","24.4","31.7","39.0","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"","713","001","","15","3.300","13.3","53.3","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","713","002","","17","3.559","35.3","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","32","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","714","001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","714","002","","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","30","3.567","36.7","40.0","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","001","","13","3.192","7.7","23.1","69.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","","15","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Dev-Thy Stat & Policy","878","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Recent Advances-Economics","899","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","","","Page 200 of 404",""
