"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"426
Pharm Practice Experience II","001","","130","3.954","90.8","9.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","41","3.800","70.7","14.6","12.2",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"490","004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","72","3.922","83.3","8.3","6.9",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"526
Intro-Phm Prac Experience IV","056","","131","3.882","77.9","20.6","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","134","3.188","14.2","34.3","29.1","17.9","3.7",".",".",".",".",".",".",".","0.7",".",".","."
"570
Drug Literature Evaluation","001","","133","3.500","37.6","29.3","32.3",".",".",".","0.8",".",".",".",".",".",".",".",".","."
"608
Safety & Quality-Med Use Sys","001","","131","3.271","11.5","44.3","33.6","8.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"626
Intro - Phm Prac Experience VI","056","","131","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","99","3.398","27.3","31.3","23.2","3.0","3.0",".","1.0","11.1",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","130","3.327","26.2","39.2","21.5","9.2","1.5",".","2.3",".",".",".",".",".",".",".",".","."
"664
Vet Pharmacy Clerkship","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"673
Seminar:Global Health Pharmacy","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"674
Seminars-Psychiatric Pharmacy","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Advanced Diabetes Management","001","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Geriatric Pharmacotherapy","001","","36","3.735","52.8","36.1","2.8","2.8",".",".",".","5.6",".",".",".",".",".",".",".","."
"740","005","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","006","","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","40","3.863","77.5","17.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","005","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
