"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","292","3.057","12.3","28.8","34.9","14.0","6.2","1.4","1.7","0.7",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
002","144","2.843","8.3","16.7","38.2","16.7","13.2","2.1","2.1",".",".",".",".",".","2.1",".","0.7","."
"Am Racial&Ethnic Minorities","134
001","603","3.021","17.2","21.2","25.7","19.4","12.6","1.0","0.5",".",".",".",".",".","0.2",".","2.0","0.2"
"Intro-Community & Envir Soc","140
001","53","3.538","34.0","43.4","18.9","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","19","3.737","47.4","52.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
016","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","199
016","109","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
066","31","3.952","90.3","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"","199
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","141","3.994","97.9","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","0.7"
"Intro Les, Gay, Bi, Trnsgen St","200
001","64","3.063","14.1","21.9","39.1","15.6","6.3",".","1.6","1.6",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","88","3.136","18.2","35.2","25.0","8.0","11.4",".","2.3",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","83","3.318","27.7","22.9","27.7","9.6","4.8",".",".",".",".",".",".",".","6.0","1.2",".","."
"Ethnic Movements in U.S.","220
001","72","3.257","19.4","44.4","20.8","6.9","5.6","1.4","1.4",".",".",".",".",".",".",".",".","."
"Technology and Society","245
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","7","2.786","28.6",".","28.6","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","31","2.950","3.2","41.9","19.4","19.4","9.7",".","3.2","3.2",".",".",".",".",".",".",".","."
"","357
001","18","3.472","44.4","38.9","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","357
002","13","3.077","61.5","7.7",".","7.7","7.7",".","15.4",".",".",".",".",".",".",".",".","."
"","357
003","16","3.188","12.5","37.5","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","357
004","17","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","17","3.676","58.8","17.6","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
006","14","3.731","57.1","21.4","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","357
007","21","3.119","14.3","42.9","19.0","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","357
008","18","3.412","22.2","33.3","38.9",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Meth-Sociological Inquiry","Course Total","134","3.390","36.6","29.9","21.6","3.7","3.7","1.5","1.5",".",".",".",".",".","0.7","0.7",".","."
"","360
001","25","2.880","28.0","20.0","16.0","20.0",".","8.0","8.0",".",".",".",".",".",".",".",".","."
"","360
002","30","3.100","30.0","23.3","16.7","16.7","6.7","3.3","3.3",".",".",".",".",".",".",".",".","."
"","003
360","30","3.155","33.3","20.0","23.3","3.3","10.0","3.3","3.3",".",".",".",".",".","3.3",".",".","."
"Stats for Sociologists I","Course Total","85","3.054","30.6","21.2","18.8","12.9","5.9","4.7","4.7",".",".",".",".",".","1.2",".",".","."
"Stats for Sociologists II","361
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","15","3.267","26.7","20.0","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models-Social Sys","376
001","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","106","3.649","62.3","17.9","10.4","3.8","2.8",".","0.9",".",".",".",".",".","0.9","0.9",".","."
"","475
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
002","33","3.485","51.5","21.2","15.2","3.0","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"","475
003","38","3.139","13.2","31.6","26.3","21.1",".","2.6",".",".",".",".",".",".","5.3",".",".","."
"","475
004","36","3.214","33.3","27.8","19.4","2.8","8.3",".","5.6",".",".",".",".",".",".","2.8",".","."
"","475
005","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","131","3.371","38.2","26.7","18.3","7.6","3.8","1.5","1.5",".",".",".",".",".","1.5","0.8",".","."
"","496
004","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
007","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","496
008","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 26, 2012","","","","","","","","","","","","","","","","","","Page 304 of 404",""
