"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","171","2.882","15.8","11.1","40.4","13.5","11.1","7.6",".","0.6",".",".",".",".",".",".",".","."
"","365","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Property Risk Management","610","001","53","3.283","35.8","7.5","43.4","3.8","9.4",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615","001","56","3.555","41.1","37.5","10.7","7.1","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","10","3.450","40.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","031","38","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
