"MED","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"","699
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","812
041","","15","3.367","13.3","46.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","043
812","","19","3.263",".","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","34","3.309","5.9","52.9","38.2","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Med Clerk-LaCrosse","921
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","925
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","946
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","39","3.390","17.9","46.2","33.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
