"OPHTHALMOLOGY AND VISUAL  Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"699
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
002","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
078","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
293","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
294","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
295","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
298","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"699
299","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Directed Study","","11","3.950","63.6","9.1","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","27.3","."
"919
008
Indiv 4th Yr Clin Clerkship","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"OPHTHALM
Dept. Total
702","","12","3.955","66.7","8.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","25.0","."
"Summary by Level","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","",".",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"Sophomore","","2","4.000","50.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","50.0","."
"Junior","","7","3.929","71.4","14.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","14.3","."
"Senior","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","11","3.950","63.6","9.1","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","27.3","."
"Prof Yr 4","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","12","3.955","66.7","8.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","25.0","."
