"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","36","3.886","77.8","16.7","2.8",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Skills II: Communctn-OT","611
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills IV: Commun OT Prac","613
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infant&Chld Occs&Ther Intrvntn","622
001","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mid&Late Adlt Occs&Thr Intervn","624
001","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk:Infants&Children","625
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk: Mid&Late Adult","627
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Lectures for Occ Therapy","629
001","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inquiry in OT II: Methods","672
001","20","2.950",".","25.0","45.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Sci Inquiry-OT IV: Sci Writing","674
001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Thesis","791
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"THER SCI
939","Dept. Total","208","3.699","69.7","18.8","7.2","2.4","0.5",".","0.5","1.0",".",".",".",".",".",".",".","."
