"","930
015","8","3.875","75.0","25.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","930
016","13","3.885","76.9","23.1",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","930
017","6","3.917","83.3","16.7",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","42","3.893","78.6","21.4",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"ANESTHES
148","Dept. Total","127","3.669","53.5","38.6","5.5","",".","2.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","43","3.558","32.6","55.8","7.0","",".","4.7","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","83","3.740","63.9","30.1","4.8","",".","1.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","126","3.666","53.2","38.9","5.6","",".","2.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","127","3.669","53.5","38.6","5.5","",".","2.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
