"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
008","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
009","","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","812
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","78","3.583","37.2","50.0","9.0",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","919
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","920
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","930
014","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
015","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
016","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
017","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","42","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
