"TERM : 1074","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2006-2007","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY","Section","#","Ave","A","AB","","B","BC","","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ONCOLOGY
700","Dept. Total","170","3.775","15.3","",".","0.6","",".","0.6","",".","0.6","82.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","BC","","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0","",".",".","",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","5","3.750","80.0","",".","20.0","",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","23","3.750","82.6","",".",".","",".","4.3","",".","4.3","8.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","29","3.763","82.8","",".","3.4","",".","3.4","",".","3.4","6.9","",".",".","",".","",".","",".",".",".","."
"Graduate","","138","4.000","1.4","",".",".","",".",".","",".",".","98.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","",".","",".",".","",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","",".","",".",".","",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","3","",".","",".",".","",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","170","3.775","15.3","",".","0.6","",".","0.6","",".","0.6","82.9","",".",".","",".","",".","",".",".",".","."
