"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","292","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","293","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","295","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.935","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
