"TERM : 1074","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Spring 2006-2007","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","",""
"URB R PL
944","318
Dept. Total","3.584","47.2","33.3","11.0","3.5","0.9",".","0.6","1.6",".",".",".","0.3","",".  
0.3
1.3
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".",".",".",".",".",".",".",".","",".  
.  
100.0
."
