"","699
091","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Problems-Neurology","Course Total","","6","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Clin Neurol Consul Serv-CSC","922
004","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Neuromusc Disease Clerk-CSC","924
007","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"NEUROL
676","Dept. Total","","8","3.944","87.5","12.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","2","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","6","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","2","3.750","50.0","50.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","2","3.750","50.0","50.0","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","8","3.944","87.5","12.5","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
