"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Acute Pharmaceut Care Clerkshp","Course Total","41","3.838","82.9","4.9","4.9","2.4","2.4",".",".",".",".",".",".",".",".",".",".","2.4"
"","741
005","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
105","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","47","3.935","89.4","8.5","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","79","3.816","74.7","17.7","5.1","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","760
006","85","3.818","77.6","14.1","4.7","1.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"","760
105","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
106","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","172","3.817","76.2","15.7","5.2","1.2","1.7",".",".",".",".",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1450","3.661","60.1","22.7","11.7","3.7","0.8",".","0.1","0.6",".",".",".",".","0.1",".","0.2","0.1"
