"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"375
Concepts&Methods-Pop Hlth Sci","001","","57","3.991","94.7","1.8",".",".",".",".",".","1.8",".",".",".",".",".","1.8",".","."
"471
Intro-Environmental Health","001","","50","3.500","30.0","44.0","24.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","11","3.000","18.2",".","45.5",".","18.2",".",".","9.1",".",".",".",".",".","9.1",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","030","","28","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"650","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","033","","18","3.667","72.2","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"650","034","","32","3.922","87.5","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","039","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","040","","25","3.820","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","042","","55","3.870","85.5","9.1",".","1.8",".","1.8",".","1.8",".",".",".",".",".",".",".","."
"650","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"650","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"650","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","133","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","134","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","201","3.851","79.6","14.9","2.5","0.5",".","0.5","0.5","1.0",".",".",".",".","0.5",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Qual-Hlth Care:Eval&Assurnc","001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Prin-Population Med&Epidemiol","001","","151","3.760","67.5","19.9","8.6","2.6","0.7",".",".",".",".",".",".",".",".",".",".","0.7"
"719
Smr-Contemp Iss:Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methodology","001","","29","3.534","44.8","31.0","13.8","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","23","3.630","34.8","56.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Monitoring Population Health","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"848
Health Economics","001","","11","3.705","36.4","45.5",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"876
Measuring Health Outcomes","001","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"904
Special Topics-Epidemiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"911
Epidemiol Elect-Div of Hlth","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
